خداداد,رضائي 
جهان افروز,جلوداريان 
مهديه,صادقي مزوشي 
محمد,شيباني 
مرضيه,آقبلاغي 
ليلا,مجدآرا 
اصغر,ميربيك سبزواري 
مهدي,شكري 
محمدحسين,خالو كاكايي 
عصمت,صالحي 
پروانه,رشيدي 
خدابس,اصلاني 
غلامرضا,يارعلي 
مجتبي,رستميان شيخ اباد 
احسان و محبوبه,عبادي مرمتي 
حسين,امين ورازگاهي 
حبيب,تاجيك جويه 
زينب,توكلي داشلي برون 
زهرا,اكبري خشت مسجدي 
سربازمرادلوالهقلي,طواف  زاده 
پرستو,باقري نجار 
تابنده,سالاري 
احمد,سلماني پاك 
شمسيه,عابديني 
درويش,كردئي 
زاهد     آزيتا,كشفي اصطهباناتي 
زبيده,اژدري 
هاجر,حيدري 
مريم,رضائي حقيقي 
بي بي صغري,سيد جعفر 
يحيي,بحراني 
كورش,اصغر نژاد هرزندي 
فتانه,دانشمند 
بابائي لميرغزل,نوروزي 
اميد,مصدقي امشي 
رضا,ساعي 
منير,محمودي چترودي 
رفعت,موسوي 
مهران,فرخندي 
عبدالمجيد,حسنوند 
مهديه,شجاعي 
بهادر,جباري خواجه بلاغ 
